SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND
Coastal Karnataka,1960,3504.2,0,442.9,2804.7,256.6
Coastal Karnataka,1961,5553.9,0,683.6,4536.9,333.4
Coastal Karnataka,1962,4017.7,3.6,391.1,3207.7,415.3
Coastal Karnataka,1963,3171.3,1.8,153,2764.7,251.8
Coastal Karnataka,1964,3140.5,0,31.8,2837.8,271
Coastal Karnataka,1965,2831.1,2.5,49.4,2574.2,205
Coastal Karnataka,1966,2976.6,3.7,208.6,2278.2,486.2
Coastal Karnataka,1967,3181.8,2,105.3,2937.8,136.8
Coastal Karnataka,1968,3461,2,69.1,3138.3,251.5
Coastal Karnataka,1969,3342.9,0,95.8,2989.6,257.5
Coastal Karnataka,1970,4042,0,293.3,3562.2,186.5
Coastal Karnataka,1971,3235.2,0.1,292.2,2878.4,64.6
Coastal Karnataka,1972,2856.9,0.5,170.5,2439.8,246.1
Coastal Karnataka,1973,3126,0,98.3,2842,185.7
Coastal Karnataka,1974,3433.5,0,199.4,3044.1,190
Coastal Karnataka,1975,4300,0.3,118,3919.1,262.6
Coastal Karnataka,1976,2933.9,0,64.2,2670.6,199.1
Coastal Karnataka,1977,3379,1.9,144.2,2853.6,379.3
Coastal Karnataka,1978,3862.9,0.8,263.4,3387.2,211.5
Coastal Karnataka,1979,2823.4,1,24,2556,242.4
Coastal Karnataka,1980,3762,0,136.5,3455.2,170.3
Coastal Karnataka,1981,3848.6,0.7,76.9,3591,179.9
Coastal Karnataka,1982,4090.9,0.3,91.1,3798.2,201.2
Coastal Karnataka,1983,3942.2,0,24.4,3701.5,216.4
Coastal Karnataka,1984,3359,10.3,104.9,3004.6,239.2
Coastal Karnataka,1985,3015.7,5.3,91.4,2621.3,297.8
Coastal Karnataka,1986,2934.5,0.4,32,2685,217.1
Coastal Karnataka,1987,2716.2,0,65.4,2329,321.8
Coastal Karnataka,1988,3466.6,0.2,60.5,3269.5,136.4
Coastal Karnataka,1989,3215.6,0,84.4,2960.9,170.3
Coastal Karnataka,1990,4120.4,1.7,348.4,3460.2,310.1
Coastal Karnataka,1991,3719.7,0.1,143.9,3417.5,158.1
Coastal Karnataka,1992,3882.2,0,94.2,3412.6,375.4
Coastal Karnataka,1993,3481.3,0.1,96.7,2944.8,439.8
Coastal Karnataka,1994,4636.3,3.5,123.2,4144.4,365.2
Coastal Karnataka,1995,3357.8,3.7,159.6,2945,249.5
Coastal Karnataka,1996,3188.9,0.3,46.9,2816.8,324.9
Coastal Karnataka,1997,3953.6,0.7,59.5,3575.8,317.5
Coastal Karnataka,1998,3707.9,0,80,3265.1,362.9
Coastal Karnataka,1999,3779.9,0.4,343,3084.9,351.5
Coastal Karnataka,2000,3351.3,15.5,243,2903.3,189.6
Coastal Karnataka,2001,3111.6,1,228.7,2663.1,218.9
Coastal Karnataka,2002,2793.1,11.8,195.3,2205,381
Coastal Karnataka,2003,3071.9,3.8,55.9,2817.9,194.4
Coastal Karnataka,2004,3070,0.1,360.3,2552.8,156.8
Coastal Karnataka,2005,3470.9,0.6,117.5,3147.2,205.6
Coastal Karnataka,2006,3837.3,1,366.3,3160.6,309.4
Coastal Karnataka,2007,3860.2,0,101.9,3567.2,191.1
Coastal Karnataka,2008,3206.4,14.8,259,2808.1,124.4
Coastal Karnataka,2009,3862,0.4,160.4,3246,455.2
Coastal Karnataka,2010,3686.8,14.8,145.9,2988.9,537.2
Coastal Karnataka,2011,3908.6,8.6,124.1,3505.4,270.5
Coastal Karnataka,2012,NA,NA,104.9,2815.1,186.7
Coastal Karnataka,2013,4229.4,21.9,147.9,3727.6,332
Coastal Karnataka,2014,3684.4,0.3,224.3,3162.6,297.2
Coastal Karnataka,2015,3106,2.4,254.8,2501.8,347.1
Coastal Karnataka,2016,2619.7,0.5,98.3,2423.5,97.5
Coastal Karnataka,2017,2947.6,1.1,141,2593.2,212.3
Coastal Karnataka,2018,3104.0,0.100,182.800,2497.700,423.400
Coastal Karnataka,2019,3734.0,0.100,220.000,3004.600,509.300
Coastal Karnataka,2020,3416.6,0.000,196.300,2776.300,444.000
Coastal Karnataka,2021,2692.0,0.000,158.600,2166.200,367.200
Coastal Karnataka,2022,3107.0,0.100,183.000,2500.100,423.800
Coastal Karnataka,2023,2864.8,0.000,104.100,2281.800,478.900
Coastal Karnataka,2024,4069.9,0.200,337.500,3276.100,456.100
Coastal Karnataka,2025,3200.0,0.100,188.500,2574.900,436.500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
