SAMPLE ID,latitude ,longitude ,TDS(ppm),Salinity(ppt),pH,DO(mg/L),Temperature,Conductivity (?S/cm),P-Alkalinity,IR(ml),FR(ml),volume (ml) ,T-Alkalinity,TDS(ppm),Salinity(ppt)
,,,Derived,Derived,,,,,,,,,,From Multimeter,From Multimeter
GW1,13.011793,74.797744,14.294,0.034,5.08,2.51,28.8,103,0,10,11.5,1.5,15,,
GW2,13.007161,74.795443,73.194,0.071,6.04,2.92,27.6,178,0,12,16,4,40,,
TW3,13.013506,74.795046,79.02,0.076,6.41,2.86,29.1,195,0,20,25.5,5.9,55,,
TW4,13.009851,74.796434,93.972,0.088,6.43,2.02,28.5,225.1,0,30,36.6,6.5,66,,
,,,,,,,,,,,,,,,
GW10,13.009051,74.790291,98.507,0.092,6.82,5.24,26.9,228.5,0,0,8.5,8.5,85,112.4,0.081
GW11,13.007174,74.792422,4.683,0.027,6.21,2.3,26.4,80.03,0,0,2.8,2.8,28,41.24,0.05
TW12,13.00509,74.791829,98.995,0.092,6.56,2.83,29.7,240.6,0,12,22,10,100,118.4,0.088
GW13,13.014747,74.792293,0.448,0.023,5.61,6.17,27.6,70.59,0,0,1.5,1.5,15,35.52,0.05
,,,,,,,,,,,,,,,
GW5,13.004476,74.790815,69.175,0.068,6.29,5.23,26.5,166.5,0,22,25,3,30,,0.06026
TW6,13.006297,74.789538,151.528,0.145,6.98,2.66,28.4,337.2,0,11,12,1,10,116.4,0.14
GW7,13.005799,74.789639,149.29,0.144,6.86,,27.4,327.6,0,35,46.5,11.5,115,161,0.134
TW8,13.011133,74.789393,251.739,0.227,7.35,2.75,30.1,543.6,0,32,58,26,260,265.9,0.249
GW9,13.01651,74.788466,84.77,0.081,7.29,7.95,27.2,201,0,0,6.9,6.9,69,98.99,0.06
SEA,13.01651,74.788466,27105.545,22.286,8.35,-,29.1,52420,,,,,,25680,34.52
,,,,,,,far points ,,,,,,,,
,,,,,,,near to coastal region ,,,,,,,,
,,,,,,,Intermediate Points,,,,,,,,
